id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-04-23 19:47:27,"{""short_code"":""iRJKKP"",""original_url"":""https://hackstack.io/navy/quartz/1""}"
2,2,215,created,2025-02-23 17:50:08,"{""short_code"":""2p6DjN"",""original_url"":""https://opswise.net/calm/yard/2""}"
3,3,34,created,2025-08-23 08:35:38,"{""short_code"":""5NKc4d"",""original_url"":""https://hackstack.io/tidy/quartz/3""}"
4,4,28,created,2026-01-30 15:57:05,"{""short_code"":""j2vfYw"",""original_url"":""https://relay.cloud/opal/orbit/4""}"
5,5,102,created,2025-02-24 14:57:07,"{""short_code"":""NqL7eT"",""original_url"":""https://seeded.app/urban/garden/5""}"
6,6,390,created,2026-01-14 11:26:00,"{""short_code"":""p0jBDO"",""original_url"":""https://example.com/urban/engine/6""}"
7,7,389,created,2025-12-04 07:26:01,"{""short_code"":""hVWxMt"",""original_url"":""https://seeded.app/ivory/zenith/7""}"
8,8,72,created,2025-07-26 06:06:45,"{""short_code"":""Dt2B4m"",""original_url"":""https://relay.cloud/ivory/journey/8""}"
9,9,341,created,2025-04-14 20:28:09,"{""short_code"":""Ib0QDR"",""original_url"":""https://hackstack.io/brisk/engine/9""}"
10,10,55,created,2025-10-28 09:55:47,"{""short_code"":""JOJOiP"",""original_url"":""https://opswise.net/cobalt/signal/10""}"
11,11,115,created,2025-12-30 07:59:14,"{""short_code"":""JRQpgA"",""original_url"":""https://seeded.app/jade/harvest/11""}"
12,12,371,created,2025-09-03 17:10:52,"{""short_code"":""Ax5qM1"",""original_url"":""https://relay.cloud/harbor/orbit/12""}"
13,13,91,created,2025-07-17 06:53:34,"{""short_code"":""NqySvD"",""original_url"":""https://example.com/brisk/field/13""}"
14,14,100,created,2025-09-25 00:22:44,"{""short_code"":""utR0FY"",""original_url"":""https://seeded.app/gold/field/14""}"
15,15,199,created,2025-12-27 01:46:49,"{""short_code"":""RrZKTO"",""original_url"":""https://seeded.app/clear/journey/15""}"
16,16,356,created,2025-07-21 02:19:03,"{""short_code"":""hkRLvq"",""original_url"":""https://opswise.net/jade/window/16""}"
17,17,299,created,2025-01-18 07:58:43,"{""short_code"":""UyuJnM"",""original_url"":""https://seeded.app/vivid/pioneer/17""}"
18,18,136,created,2025-10-15 02:05:05,"{""short_code"":""lUAjv9"",""original_url"":""https://opswise.net/tidy/field/18""}"
19,19,338,created,2025-07-20 02:43:27,"{""short_code"":""y8uAmp"",""original_url"":""https://hackstack.io/lively/quartz/19""}"
20,20,381,created,2025-02-12 08:16:02,"{""short_code"":""sHGsOI"",""original_url"":""https://acme.dev/proud/field/20""}"
21,21,162,created,2025-07-19 18:04:45,"{""short_code"":""B8aVgt"",""original_url"":""https://relay.cloud/clear/river/21""}"
22,22,42,created,2025-07-24 07:58:13,"{""short_code"":""LYYlf0"",""original_url"":""https://hackstack.io/amber/network/22""}"
23,23,369,created,2025-01-08 04:52:40,"{""short_code"":""uCRTNh"",""original_url"":""https://opswise.net/harbor/garden/23""}"
24,24,286,created,2025-01-13 04:47:20,"{""short_code"":""KyczVd"",""original_url"":""https://acme.dev/forest/garden/24""}"
25,25,317,created,2025-06-10 11:20:12,"{""short_code"":""r35uPU"",""original_url"":""https://acme.dev/calm/yard/25""}"
26,26,66,created,2025-06-25 04:33:00,"{""short_code"":""GcUIQH"",""original_url"":""https://seeded.app/mellow/yard/26""}"
27,27,330,created,2025-10-05 08:33:34,"{""short_code"":""AQEoTL"",""original_url"":""https://acme.dev/silver/orbit/27""}"
28,28,114,created,2025-10-28 22:40:54,"{""short_code"":""kWj35A"",""original_url"":""https://hackstack.io/lively/delta/28""}"
29,29,331,created,2025-02-14 14:02:31,"{""short_code"":""T5Qxtq"",""original_url"":""https://example.com/young/garden/29""}"
30,30,69,created,2025-12-18 19:07:59,"{""short_code"":""PuULn4"",""original_url"":""https://acme.dev/amber/meadow/30""}"
31,31,100,created,2026-01-12 16:17:38,"{""short_code"":""EPhqe1"",""original_url"":""https://relay.cloud/dawn/network/31""}"
32,32,57,created,2025-11-15 22:30:34,"{""short_code"":""Eq7mcq"",""original_url"":""https://hackstack.io/gold/field/32""}"
33,33,232,created,2025-01-23 22:23:53,"{""short_code"":""lOdYHv"",""original_url"":""https://opswise.net/proud/lagoon/33""}"
34,34,216,created,2025-06-13 11:59:43,"{""short_code"":""GyCDdR"",""original_url"":""https://hackstack.io/gold/delta/34""}"
35,35,151,created,2025-10-31 04:08:21,"{""short_code"":""R2kutN"",""original_url"":""https://example.com/forest/valley/35""}"
36,36,90,created,2025-10-01 20:30:39,"{""short_code"":""ya3Myp"",""original_url"":""https://hackstack.io/urban/island/36""}"
37,37,290,created,2025-10-03 07:25:12,"{""short_code"":""fJkNOD"",""original_url"":""https://hackstack.io/tidy/window/37""}"
38,38,181,created,2025-02-25 03:12:56,"{""short_code"":""Fe9GQD"",""original_url"":""https://relay.cloud/mellow/yard/38""}"
39,39,31,created,2025-07-26 08:07:17,"{""short_code"":""OPZIQs"",""original_url"":""https://seeded.app/urban/engine/39""}"
40,40,21,created,2025-05-24 13:09:59,"{""short_code"":""uxzL5N"",""original_url"":""https://acme.dev/keen/beacon/40""}"
41,41,31,created,2025-02-01 15:10:33,"{""short_code"":""YfWK6t"",""original_url"":""https://relay.cloud/brisk/window/41""}"
42,42,49,created,2026-01-14 00:52:01,"{""short_code"":""TVKWXg"",""original_url"":""https://example.com/calm/pioneer/42""}"
43,43,71,created,2025-01-26 03:42:07,"{""short_code"":""M2GYYt"",""original_url"":""https://hackstack.io/warm/delta/43""}"
44,44,266,created,2025-10-23 19:46:51,"{""short_code"":""4kV9ni"",""original_url"":""https://opswise.net/harbor/engine/44""}"
45,45,257,created,2026-01-06 19:55:40,"{""short_code"":""6Uz0jO"",""original_url"":""https://acme.dev/mellow/harvest/45""}"
46,46,319,created,2025-05-02 01:37:23,"{""short_code"":""SqnHmg"",""original_url"":""https://example.com/brisk/field/46""}"
47,47,62,created,2025-10-07 07:49:23,"{""short_code"":""Fs4xI0"",""original_url"":""https://acme.dev/young/field/47""}"
48,48,109,created,2025-05-22 17:17:58,"{""short_code"":""JUAAxB"",""original_url"":""https://example.com/lively/river/48""}"
49,49,147,created,2025-04-11 08:29:26,"{""short_code"":""HtrfjS"",""original_url"":""https://acme.dev/dawn/valley/49""}"
50,50,355,created,2025-06-10 10:31:01,"{""short_code"":""C2Wx32"",""original_url"":""https://acme.dev/warm/yard/50""}"
51,51,274,created,2025-05-15 15:33:02,"{""short_code"":""AjyGj5"",""original_url"":""https://hackstack.io/calm/trail/51""}"
52,52,76,created,2025-12-24 08:17:50,"{""short_code"":""v42DMO"",""original_url"":""https://example.com/navy/harvest/52""}"
53,53,15,created,2026-01-06 17:42:09,"{""short_code"":""5NHkG9"",""original_url"":""https://seeded.app/jade/signal/53""}"
54,54,99,created,2026-02-05 07:47:05,"{""short_code"":""NTiSDZ"",""original_url"":""https://example.com/vivid/lagoon/54""}"
55,55,145,created,2025-02-28 05:07:46,"{""short_code"":""KddCdV"",""original_url"":""https://opswise.net/forest/river/55""}"
56,56,376,created,2025-04-18 12:28:46,"{""short_code"":""SBUkrN"",""original_url"":""https://seeded.app/ivory/orbit/56""}"
57,57,92,created,2025-11-01 05:04:29,"{""short_code"":""Rr1DpG"",""original_url"":""https://seeded.app/vivid/zenith/57""}"
58,58,106,created,2025-03-20 22:25:50,"{""short_code"":""XAMolV"",""original_url"":""https://hackstack.io/warm/kernel/58""}"
59,59,80,created,2025-12-24 09:33:23,"{""short_code"":""lzQKzN"",""original_url"":""https://relay.cloud/navy/island/59""}"
60,60,365,created,2025-05-31 01:01:03,"{""short_code"":""HJZ9Qw"",""original_url"":""https://seeded.app/urban/orbit/60""}"
61,61,189,created,2025-08-09 07:18:05,"{""short_code"":""C5UhXu"",""original_url"":""https://relay.cloud/rapid/garden/61""}"
62,62,376,created,2025-01-26 11:05:48,"{""short_code"":""zFWi4Y"",""original_url"":""https://hackstack.io/gold/zenith/62""}"
63,63,106,created,2026-01-18 18:15:35,"{""short_code"":""pYJnGK"",""original_url"":""https://relay.cloud/opal/kernel/63""}"
64,64,165,created,2025-10-08 16:58:44,"{""short_code"":""Eh73tI"",""original_url"":""https://hackstack.io/vivid/zenith/64""}"
65,65,182,created,2026-01-11 09:40:44,"{""short_code"":""yTtIxO"",""original_url"":""https://seeded.app/clear/river/65""}"
66,66,388,created,2025-12-31 14:43:42,"{""short_code"":""BKI0b9"",""original_url"":""https://acme.dev/brisk/anchor/66""}"
67,67,393,created,2025-11-14 15:56:51,"{""short_code"":""uFgg2v"",""original_url"":""https://opswise.net/rapid/window/67""}"
68,68,57,created,2025-12-25 14:25:42,"{""short_code"":""RFRYhc"",""original_url"":""https://acme.dev/proud/quartz/68""}"
69,69,108,created,2025-04-13 00:08:52,"{""short_code"":""Rddk7Q"",""original_url"":""https://seeded.app/lively/engine/69""}"
70,70,39,created,2025-02-20 20:11:25,"{""short_code"":""eSV6jd"",""original_url"":""https://opswise.net/lively/orbit/70""}"
71,71,202,created,2026-02-10 22:38:20,"{""short_code"":""byVnSd"",""original_url"":""https://relay.cloud/keen/canyon/71""}"
72,72,254,created,2026-02-13 20:01:50,"{""short_code"":""nWHhqc"",""original_url"":""https://hackstack.io/dawn/quartz/72""}"
73,73,389,created,2025-10-03 09:51:13,"{""short_code"":""G14rv1"",""original_url"":""https://seeded.app/gold/delta/73""}"
74,74,267,created,2026-02-09 20:28:30,"{""short_code"":""1BiH27"",""original_url"":""https://hackstack.io/amber/yard/74""}"
75,75,157,created,2025-10-05 01:11:13,"{""short_code"":""PGFIVS"",""original_url"":""https://hackstack.io/gold/yard/75""}"
76,76,111,created,2025-01-24 14:20:48,"{""short_code"":""boFpv4"",""original_url"":""https://opswise.net/cobalt/field/76""}"
77,77,210,created,2025-10-01 17:33:55,"{""short_code"":""lhggaG"",""original_url"":""https://acme.dev/clear/delta/77""}"
78,78,101,created,2025-09-28 03:06:43,"{""short_code"":""1ua8Yq"",""original_url"":""https://relay.cloud/ember/quartz/78""}"
79,79,212,created,2025-01-27 14:19:15,"{""short_code"":""QEgfeD"",""original_url"":""https://example.com/proud/anchor/79""}"
80,80,88,created,2025-05-03 02:05:21,"{""short_code"":""GISWwx"",""original_url"":""https://hackstack.io/jade/yard/80""}"
81,81,359,created,2025-07-05 00:13:41,"{""short_code"":""QIAZy6"",""original_url"":""https://opswise.net/silver/network/81""}"
82,82,257,created,2025-03-03 20:06:37,"{""short_code"":""9Q5mds"",""original_url"":""https://seeded.app/rapid/beacon/82""}"
83,83,309,created,2025-07-06 07:34:59,"{""short_code"":""e6ag7Y"",""original_url"":""https://relay.cloud/tidy/canyon/83""}"
84,84,308,created,2025-04-26 18:40:57,"{""short_code"":""NISeuV"",""original_url"":""https://seeded.app/keen/network/84""}"
85,85,354,created,2025-03-13 14:59:07,"{""short_code"":""r99y6g"",""original_url"":""https://example.com/jade/garden/85""}"
86,86,255,created,2025-11-02 19:31:51,"{""short_code"":""RSTwlD"",""original_url"":""https://acme.dev/ivory/anchor/86""}"
87,87,8,created,2025-05-15 12:14:27,"{""short_code"":""WfajaX"",""original_url"":""https://acme.dev/proud/river/87""}"
88,88,13,created,2025-07-26 19:24:33,"{""short_code"":""v3aPr9"",""original_url"":""https://opswise.net/lively/valley/88""}"
89,89,15,created,2025-02-18 02:28:30,"{""short_code"":""qKuDRR"",""original_url"":""https://opswise.net/ember/kernel/89""}"
90,90,387,created,2026-02-05 16:54:19,"{""short_code"":""aLQtZs"",""original_url"":""https://acme.dev/vivid/beacon/90""}"
91,91,115,created,2026-01-24 05:11:48,"{""short_code"":""4INOfs"",""original_url"":""https://opswise.net/tidy/window/91""}"
92,92,80,created,2025-08-12 08:50:46,"{""short_code"":""OsAP3J"",""original_url"":""https://relay.cloud/amber/river/92""}"
93,93,262,created,2025-05-06 02:11:50,"{""short_code"":""APBxSL"",""original_url"":""https://hackstack.io/silver/journey/93""}"
94,94,144,created,2026-01-11 00:51:06,"{""short_code"":""t4jhpC"",""original_url"":""https://opswise.net/quiet/anchor/94""}"
95,95,94,created,2025-09-15 01:33:11,"{""short_code"":""BxcWhU"",""original_url"":""https://example.com/ivory/trail/95""}"
96,96,351,created,2025-07-31 04:57:06,"{""short_code"":""SSAQtU"",""original_url"":""https://hackstack.io/navy/garden/96""}"
97,97,384,created,2025-09-07 04:48:04,"{""short_code"":""ixP6gG"",""original_url"":""https://relay.cloud/keen/orbit/97""}"
98,98,229,created,2025-01-19 13:52:31,"{""short_code"":""1gkXe4"",""original_url"":""https://relay.cloud/proud/yard/98""}"
99,99,48,created,2026-01-25 05:27:23,"{""short_code"":""1Quxcb"",""original_url"":""https://acme.dev/silver/uplink/99""}"
100,100,239,created,2025-09-07 07:15:41,"{""short_code"":""BBSaDt"",""original_url"":""https://example.com/warm/pioneer/100""}"
101,101,348,created,2025-04-02 01:09:00,"{""short_code"":""HeLsPV"",""original_url"":""https://example.com/harbor/lagoon/101""}"
102,102,29,created,2025-10-20 06:40:27,"{""short_code"":""GDJkMx"",""original_url"":""https://relay.cloud/proud/network/102""}"
103,103,75,created,2025-01-06 22:34:38,"{""short_code"":""xEyZad"",""original_url"":""https://opswise.net/keen/orbit/103""}"
104,104,342,created,2025-03-14 01:08:48,"{""short_code"":""btzDFl"",""original_url"":""https://seeded.app/vivid/quartz/104""}"
105,105,35,created,2026-01-26 17:16:38,"{""short_code"":""4FDzmQ"",""original_url"":""https://hackstack.io/mellow/harvest/105""}"
106,106,100,created,2025-07-12 06:29:32,"{""short_code"":""M8euBn"",""original_url"":""https://acme.dev/forest/uplink/106""}"
107,107,101,created,2025-08-27 04:17:28,"{""short_code"":""nC20ny"",""original_url"":""https://opswise.net/mellow/meadow/107""}"
108,108,163,created,2025-04-10 20:46:05,"{""short_code"":""osaqAD"",""original_url"":""https://example.com/opal/network/108""}"
109,109,21,created,2025-07-07 17:05:52,"{""short_code"":""Y20EU2"",""original_url"":""https://example.com/silver/field/109""}"
110,110,293,created,2025-10-15 20:02:27,"{""short_code"":""H5IQcS"",""original_url"":""https://opswise.net/urban/pioneer/110""}"
111,111,191,created,2025-03-18 13:58:53,"{""short_code"":""kRPHsN"",""original_url"":""https://opswise.net/warm/yard/111""}"
112,112,105,created,2025-09-15 07:36:10,"{""short_code"":""bb9ROT"",""original_url"":""https://acme.dev/tidy/trail/112""}"
113,113,282,created,2025-12-29 00:49:42,"{""short_code"":""H27a6q"",""original_url"":""https://seeded.app/jade/orbit/113""}"
114,114,331,created,2025-07-17 19:48:27,"{""short_code"":""sBjQL6"",""original_url"":""https://example.com/quiet/beacon/114""}"
115,115,273,created,2025-09-09 04:49:01,"{""short_code"":""7ID4XH"",""original_url"":""https://example.com/keen/orbit/115""}"
116,116,313,created,2025-11-18 13:00:31,"{""short_code"":""CJQRdx"",""original_url"":""https://relay.cloud/brisk/lagoon/116""}"
117,117,13,created,2025-10-04 16:17:03,"{""short_code"":""rgO2EW"",""original_url"":""https://relay.cloud/vivid/uplink/117""}"
118,118,171,created,2025-06-02 07:34:14,"{""short_code"":""mhf8li"",""original_url"":""https://example.com/rapid/engine/118""}"
119,119,296,created,2025-11-24 13:06:58,"{""short_code"":""foUwhv"",""original_url"":""https://hackstack.io/tidy/network/119""}"
120,120,237,created,2025-07-25 02:25:35,"{""short_code"":""lUOQRP"",""original_url"":""https://acme.dev/vivid/zenith/120""}"
121,121,103,created,2025-10-23 08:28:08,"{""short_code"":""ZinNj7"",""original_url"":""https://acme.dev/gold/island/121""}"
122,122,42,created,2025-12-17 08:12:52,"{""short_code"":""xe2Ht1"",""original_url"":""https://relay.cloud/harbor/uplink/122""}"
123,123,89,created,2025-02-10 18:43:41,"{""short_code"":""8nVViI"",""original_url"":""https://acme.dev/opal/uplink/123""}"
124,124,365,created,2025-03-17 19:15:36,"{""short_code"":""txnME9"",""original_url"":""https://hackstack.io/navy/field/124""}"
125,125,246,created,2025-01-14 18:16:13,"{""short_code"":""FKjnkT"",""original_url"":""https://hackstack.io/gold/journey/125""}"
126,126,352,created,2025-10-07 08:39:50,"{""short_code"":""zAA6IF"",""original_url"":""https://acme.dev/lively/signal/126""}"
127,127,86,created,2026-02-09 02:38:18,"{""short_code"":""AJpNuP"",""original_url"":""https://acme.dev/ivory/anchor/127""}"
128,128,162,created,2025-10-29 01:12:50,"{""short_code"":""molDQ1"",""original_url"":""https://seeded.app/ember/valley/128""}"
129,129,257,created,2025-06-27 13:38:05,"{""short_code"":""E3LqG2"",""original_url"":""https://seeded.app/proud/zenith/129""}"
130,130,221,created,2025-04-01 17:28:30,"{""short_code"":""CHBxyV"",""original_url"":""https://acme.dev/lively/canyon/130""}"
131,131,371,created,2025-11-24 12:20:23,"{""short_code"":""vzSPTE"",""original_url"":""https://relay.cloud/jade/anchor/131""}"
132,132,6,created,2025-01-12 00:15:19,"{""short_code"":""W2vtWy"",""original_url"":""https://relay.cloud/calm/river/132""}"
133,133,364,created,2025-07-25 21:15:06,"{""short_code"":""DV9mkX"",""original_url"":""https://example.com/navy/window/133""}"
134,134,232,created,2025-02-20 00:29:32,"{""short_code"":""r7R4Kp"",""original_url"":""https://hackstack.io/gold/field/134""}"
135,135,309,created,2025-03-21 10:00:55,"{""short_code"":""4vuv4I"",""original_url"":""https://relay.cloud/navy/network/135""}"
136,136,375,created,2025-11-14 05:34:27,"{""short_code"":""vRpONu"",""original_url"":""https://relay.cloud/dawn/meadow/136""}"
137,137,60,created,2025-03-20 23:32:31,"{""short_code"":""Ts3yj3"",""original_url"":""https://example.com/urban/trail/137""}"
138,138,40,created,2025-05-16 07:23:02,"{""short_code"":""pRO0S8"",""original_url"":""https://opswise.net/rapid/orbit/138""}"
139,139,387,created,2025-08-01 09:43:40,"{""short_code"":""ova4VV"",""original_url"":""https://opswise.net/urban/meadow/139""}"
140,140,399,created,2025-08-25 07:05:52,"{""short_code"":""P8gEGG"",""original_url"":""https://opswise.net/lively/orbit/140""}"
141,141,172,created,2025-11-26 11:17:58,"{""short_code"":""069zH4"",""original_url"":""https://opswise.net/ivory/canyon/141""}"
